[Info  - 11:25:10 am] Angular language server process ID: 5172
[Info  - 11:25:10 am] Using typescript/lib/tsserverlibrary v4.6.4 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 11:25:10 am] Using @angular/language-service v13.3.8 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/@angular/language-service/index.js
[Info  - 11:25:10 am] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 11:25:12 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:20 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:21 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:32 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:33 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:33 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:26:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:02 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:08 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:08 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:09 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:10 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:10 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:31 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:32 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:32 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:33 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:35 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:35 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:38 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:38 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:38 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:38 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:39 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:39 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:39 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:27:40 am] No config file for /var/www/html/officework/Stackoet/index.html
