[Info  - 11:07:49 am] Angular language server process ID: 8120
[Info  - 11:07:49 am] Using typescript/lib/tsserverlibrary v4.6.4 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 11:07:49 am] Using @angular/language-service v13.3.8 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/@angular/language-service/index.js
[Info  - 11:07:49 am] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 11:07:50 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:56 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:03 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:13 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:13 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:12 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:14 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:14 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:14 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:25 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:26 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:27 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:29 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:29 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:29 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:29 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:29 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:31 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:31 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:31 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:35 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:37 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:39 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:39 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:39 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:40 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:12:42 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:13:59 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:16:25 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:16:53 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:18:17 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:18:22 am] No config file for /var/www/html/officework/Stackoet/index.html
