[Info  - 11:01:02 am] Angular language server process ID: 6443
[Info  - 11:01:02 am] Using typescript/lib/tsserverlibrary v4.6.4 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 11:01:02 am] Using @angular/language-service v13.3.8 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/@angular/language-service/index.js
[Info  - 11:01:02 am] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 11:01:05 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:01:05 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:01:05 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:01:07 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:01:08 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:04:37 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:12 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:22 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:22 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:22 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:23 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:24 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:24 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:24 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:24 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:24 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:24 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:25 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:25 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:32 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:33 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:06:35 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:08:49 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:08:49 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:06 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:06 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:33 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:34 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:40 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:40 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:55 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:59 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:09:59 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:03 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:03 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:05 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:06 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:09 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:26 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:31 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:31 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:59 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:10:59 am] No config file for /var/www/html/officework/Stackoet/index.html
[Error - 11:14:23 am] No config file for /var/www/html/officework/Stackoet/index.html
