[Info  - 3:14:28 pm] Angular language server process ID: 53598
[Info  - 3:14:28 pm] Using typescript/lib/tsserverlibrary v4.6.4 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/typescript/lib/tsserverlibrary.js
[Info  - 3:14:28 pm] Using @angular/language-service v13.3.8 from /root/.vscode/extensions/angular.ng-template-13.3.4/node_modules/@angular/language-service/index.js
[Info  - 3:14:28 pm] Logging is turned off. To enable, run command 'Open Angular server log'.
[Error - 3:14:30 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:33 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:33 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:34 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:34 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:34 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:34 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:35 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:36 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:36 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:36 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:36 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:37 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:37 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:37 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:37 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:38 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:38 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:39 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:39 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:39 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:43 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:43 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:43 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:43 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:43 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:44 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:44 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:44 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:14:57 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:00 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:01 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:01 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:01 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:02 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:02 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:02 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:02 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:02 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:03 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:03 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:03 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:03 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:04 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:05 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:05 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:06 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:06 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:08 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:08 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
[Error - 3:15:08 pm] No config file for /var/www/html/officework/Stackoet/assets/index.html
